排名,扫描频次,文件路径,风险等级,文件类型,完整路径
76,2,C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-CN_26100.158.247.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-CN\cfd1fd215477204b6c3dea7a7f0195bc\KernelBase.dll.mui,低危,mui,"C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-CN_26100.158.247.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-CN\cfd1fd215477204b6c3dea7a7f0195bc\KernelBase.dll.mui"
77,2,C:\Windows\System32\zh-CN\KernelBase.dll.mui,低危,mui,"C:\Windows\System32\zh-CN\KernelBase.dll.mui"
78,2,C:\ProgramData\AntiCheatExpert\ace-drc.dat,低危,dat,"C:\ProgramData\AntiCheatExpert\ace-drc.dat"
79,2,C:\Windows\System32\en-US\KernelBase.dll.mui,低危,mui,"C:\Windows\System32\en-US\KernelBase.dll.mui"
80,2,C:\Program Files\AntiCheatExpert\SGuard\x64\SGuard64.exe,低危,exe,"C:\Program Files\AntiCheatExpert\SGuard\x64\SGuard64.exe"
81,2,C:\Program Files\WindowsApps\Microsoft.GamingServices_33.108.12001.0_x64__8wekyb3d8bbwe\gamingservices.exe,低危,exe,"C:\Program Files\WindowsApps\Microsoft.GamingServices_33.108.12001.0_x64__8wekyb3d8bbwe\gamingservices.exe"
82,2,C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-US_26100.128.141.0_neutral__8wekyb3d8bbwe\Windows\System32\en-US\cfd1fd215477204b6c3dea7a7f0195bc\KernelBase.dll.mui,低危,mui,"C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-US_26100.128.141.0_neutral__8wekyb3d8bbwe\Windows\System32\en-US\cfd1fd215477204b6c3dea7a7f0195bc\KernelBase.dll.mui"
83,1,C:\Windows\System32\KernelBase.dll,低危,dll,"C:\Windows\System32\KernelBase.dll"
84,1,C:\Program Files\AntiCheatExpert\ACE-CORE202706.sys,低危,sys,"C:\Program Files\AntiCheatExpert\ACE-CORE202706.sys"
85,1,C:\Windows\System32\drivers\rasacd.sys,低危,sys,"C:\Windows\System32\drivers\rasacd.sys"
86,1,C:\Windows\System32\drivers\hidvirtualdriver.sys,低危,sys,"C:\Windows\System32\drivers\hidvirtualdriver.sys"
87,1,C:\Windows\System32\win32k.sys,低危,sys,"C:\Windows\System32\win32k.sys"
88,1,C:\Windows\System32\drivers\iorate.sys,低危,sys,"C:\Windows\System32\drivers\iorate.sys"
89,1,C:\Windows\System32\drivers\FeizVMO64.sys,低危,sys,"C:\Windows\System32\drivers\FeizVMO64.sys"
90,1,C:\Windows\System32\drivers\msseccore.sys,低危,sys,"C:\Windows\System32\drivers\msseccore.sys"
91,1,C:\Windows\System32\en-US\wldap32.dll.mui,低危,mui,"C:\Windows\System32\en-US\wldap32.dll.mui"
92,1,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys"
93,1,C:\Windows\System32\drivers\mup.sys,低危,sys,"C:\Windows\System32\drivers\mup.sys"
94,1,C:\Windows\System32\drivers\USBHUB3.SYS,低危,SYS,"C:\Windows\System32\drivers\USBHUB3.SYS"
95,1,C:\Windows\System32\drivers\netbios.sys,低危,sys,"C:\Windows\System32\drivers\netbios.sys"
96,1,C:\Windows\System32\drivers\RTKVHD64.sys,低危,sys,"C:\Windows\System32\drivers\RTKVHD64.sys"
97,1,C:\Windows\System32\drivers\ndiscap.sys,低危,sys,"C:\Windows\System32\drivers\ndiscap.sys"
98,1,C:\Windows\System32\drivers\usbvideo.sys,低危,sys,"C:\Windows\System32\drivers\usbvideo.sys"
99,1,C:\Windows\System32\drivers\hrwfpdrv.sys,低危,sys,"C:\Windows\System32\drivers\hrwfpdrv.sys"
100,1,C:\Windows\System32\drivers\monitor.sys,低危,sys,"C:\Windows\System32\drivers\monitor.sys"
101,1,C:\Windows\System32\drivers\hidusb.sys,低危,sys,"C:\Windows\System32\drivers\hidusb.sys"
102,1,C:\Windows\System32\drivers\csc.sys,低危,sys,"C:\Windows\System32\drivers\csc.sys"
103,1,C:\Windows\System32\drivers\Classpnp.sys,低危,sys,"C:\Windows\System32\drivers\Classpnp.sys"
104,1,C:\Windows\System32\DriverStore\FileRepository\xvdd.inf_amd64_a332708e26a8cf3c\xvdd.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\xvdd.inf_amd64_a332708e26a8cf3c\xvdd.sys"
105,1,C:\Windows\System32\drivers\msquicprev.sys,低危,sys,"C:\Windows\System32\drivers\msquicprev.sys"
106,1,C:\Windows\System32\drivers\tbs.sys,低危,sys,"C:\Windows\System32\drivers\tbs.sys"
107,1,C:\Windows\System32\drivers\nvvad64v.sys,低危,sys,"C:\Windows\System32\drivers\nvvad64v.sys"
108,1,C:\Windows\System32\drivers\bthport.sys,低危,sys,"C:\Windows\System32\drivers\bthport.sys"
109,1,C:\Windows\System32\drivers\WdiWiFi.sys,低危,sys,"C:\Windows\System32\drivers\WdiWiFi.sys"
110,1,C:\Windows\System32\drivers\stornvme.sys,低危,sys,"C:\Windows\System32\drivers\stornvme.sys"
111,1,C:\Windows\System32\drivers\tm.sys,低危,sys,"C:\Windows\System32\drivers\tm.sys"
112,1,C:\Windows\System32\drivers\ks.sys,低危,sys,"C:\Windows\System32\drivers\ks.sys"
113,1,C:\Windows\System32\win32kbase_rs.sys,低危,sys,"C:\Windows\System32\win32kbase_rs.sys"
114,1,C:\Windows\System32\drivers\vmswitch.sys,低危,sys,"C:\Windows\System32\drivers\vmswitch.sys"
115,1,C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_987f8cede005f427\amdfendr.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_987f8cede005f427\amdfendr.sys"
116,1,C:\Windows\System32\drivers\mxnetfilter.sys,低危,sys,"C:\Windows\System32\drivers\mxnetfilter.sys"
117,1,C:\Windows\System32\drivers\UCPD.sys,低危,sys,"C:\Windows\System32\drivers\UCPD.sys"
118,1,C:\Windows\System32\drivers\nvpcf.sys,低危,sys,"C:\Windows\System32\drivers\nvpcf.sys"
119,1,C:\Windows\System32\drivers\drmk.sys,低危,sys,"C:\Windows\System32\drivers\drmk.sys"
120,1,C:\Windows\System32\drivers\mshidkmdf.sys,低危,sys,"C:\Windows\System32\drivers\mshidkmdf.sys"
121,1,C:\Windows\System32\drivers\ACE-ADVT.sys,低危,sys,"C:\Windows\System32\drivers\ACE-ADVT.sys"
122,1,C:\Windows\System32\drivers\hrdevmon.sys,低危,sys,"C:\Windows\System32\drivers\hrdevmon.sys"
123,1,C:\Windows\System32\cdd.dll,低危,dll,"C:\Windows\System32\cdd.dll"
124,1,C:\Windows\System32\drivers\VmsProxyHNic.sys,低危,sys,"C:\Windows\System32\drivers\VmsProxyHNic.sys"
125,1,C:\Windows\System32\drivers\SpbCx.sys,低危,sys,"C:\Windows\System32\drivers\SpbCx.sys"
126,1,C:\Windows\System32\drivers\FeizVKB64.sys,低危,sys,"C:\Windows\System32\drivers\FeizVKB64.sys"
127,1,C:\Windows\System32\drivers\ntosext.sys,低危,sys,"C:\Windows\System32\drivers\ntosext.sys"
128,1,C:\Windows\System32\drivers\lxcore.sys,低危,sys,"C:\Windows\System32\drivers\lxcore.sys"
129,1,C:\Windows\System32\drivers\hvsocketcontrol.sys,低危,sys,"C:\Windows\System32\drivers\hvsocketcontrol.sys"
130,1,C:\Windows\System32\drivers\Vid.sys,低危,sys,"C:\Windows\System32\drivers\Vid.sys"
131,1,C:\Windows\System32\drivers\wintun.sys,低危,sys,"C:\Windows\System32\drivers\wintun.sys"
